A♣2♣3♣    !
A♣2♣4♣    !!
A♣2♣5♣    """"
A♣2♣6♣    #
A♣2♣A♦    ##
A♣2♣2♦    $
A♣2♣3♦    $$
A♣2♣4♦    %
A♣2♣5♦    %%
A♣2♣6♦    &
A♣2♣A♥    (
A♣2♣2♥    ()
A♣2♣3♥    (c)
A♣2♣4♥    (r)
A♣2♣5♥    (tm)
A♣2♣6♥    )
A♣2♣A♠    *
A♣2♣2♠    **
A♣2♣3♠    +
2♣5♠A♥    askew
2♣5♠2♥    asks
2♣5♠3♥    asleep
2♣5♠4♥    asp
2♣5♠5♥    aspen
2♣5♠6♥    aspire
2♣5♠A♠    aspirin
2♣5♠2♠    ass
2♣5♠3♠    asses
2♣5♠4♠    asset
2♣5♠6♠    assn
2♣6♠A♣    assure
2♣6♠3♣    asthma
2♣6♠4♣    astor
2♣6♠5♣    astral
2♣6♠6♣    astute
2♣6♠A♦    at
2♣6♠2♦    at&t
2♣6♠3♦    atari
2♣6♠4♦    ate
2♣6♠5♦    atheist
2♣6♠6♦    athens
2♣6♠A♥    athlete
2♣6♠2♥    atlas
2♣6♠3♥    atm
2♣6♠4♥    atoll
2♣6♠5♥    atom
2♣6♠6♥    atomic
2♣6♠A♠    atoms
2♣6♠2♠    atone
2♣6♠3♠    atop
2♣6♠4♠    atrium
2♣6♠5♠    atriums
